OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, mujets, central, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))
0, mujets, up, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))) + 0.033408
0, mujets, down, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))) - 0.033408
0, mujets, central, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))
0, mujets, up, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))) + 0.015446
0, mujets, down, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))) - 0.015446
0, mujets, central, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))
0, mujets, up, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))) + 0.0146992
0, mujets, down, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))) - 0.0146992
0, mujets, central, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))
0, mujets, up, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))) + 0.0183964
0, mujets, down, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))) - 0.0183964
0, mujets, central, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))
