OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, mujets, central, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0357984
0, mujets, down, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0357984
0, mujets, central, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.017992
0, mujets, down, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.017992
0, mujets, central, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0169184
0, mujets, down, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0169184
0, mujets, central, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0200852
0, mujets, down, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0200852
0, mujets, central, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0210594
0, mujets, down, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0210594
0, mujets, central, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0180289
0, mujets, down, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0180289
0, mujets, central, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0206386
0, mujets, down, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0206386
0, mujets, central, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0196933
0, mujets, down, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0196933
0, mujets, central, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0155165
0, mujets, down, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0155165
0, mujets, central, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0230007
0, mujets, down, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0230007
0, mujets, central, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0233707
0, mujets, down, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0233707
0, mujets, central, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0197976
0, mujets, down, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0197976
0, mujets, central, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.029301
0, mujets, down, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.029301
0, mujets, central, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
