OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
2, mujets, central, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))
2, mujets, up, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) + 0.0623066
2, mujets, down, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) - 0.0623066
2, mujets, central, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))
2, mujets, up, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) + 0.0360776
2, mujets, down, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) - 0.0360776
2, mujets, central, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))
2, mujets, up, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) + 0.0384463
2, mujets, down, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) - 0.0384463
2, mujets, central, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))
2, mujets, up, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) + 0.0345685
2, mujets, down, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) - 0.0345685
2, mujets, central, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))
2, mujets, up, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) + 0.0313914
